imie,nazwisko,email,login,haslo,przedmioty
Anna,Kowalska,a.kowalska@szkola.pl,a.kowalska,nauczyciel123,"Matematyka,Matematyka rozszerzona"
Piotr,Nowak,p.nowak@szkola.pl,p.nowak,nauczyciel123,"Fizyka,Fizyka rozszerzona"
Maria,Wiśniewska,m.wisniewska@szkola.pl,m.wisniewska,nauczyciel123,"Język polski"
Tomasz,Wójcik,t.wojcik@szkola.pl,t.wojcik,nauczyciel123,"Język angielski,Język angielski rozszerzony"
Katarzyna,Kamińska,k.kaminska@szkola.pl,k.kaminska,nauczyciel123,"Chemia"
Jan,Lewandowski,j.lewandowski@szkola.pl,j.lewandowski,nauczyciel123,"Biologia"
Magdalena,Zielińska,m.zielinska@szkola.pl,m.zielinska,nauczyciel123,"Geografia"
Michał,Szymański,m.szymanski@szkola.pl,m.szymanski,nauczyciel123,"Historia,WOS"
Agnieszka,Woźniak,a.wozniak@szkola.pl,a.wozniak,nauczyciel123,"WF"
Krzysztof,Dąbrowski,k.dabrowski@szkola.pl,k.dabrowski,nauczyciel123,"Informatyka"
Ewa,Kozłowska,e.kozlowska@szkola.pl,e.kozlowska,nauczyciel123,"Matematyka,Matematyka rozszerzona"
Marcin,Jankowski,m.jankowski@szkola.pl,m.jankowski,nauczyciel123,"Język niemiecki"
Joanna,Mazur,j.mazur@szkola.pl,j.mazur,nauczyciel123,"Język hiszpański"
Paweł,Kwiatkowski,p.kwiatkowski@szkola.pl,p.kwiatkowski,nauczyciel123,"Fizyka,Fizyka rozszerzona"
Barbara,Krawczyk,b.krawczyk@szkola.pl,b.krawczyk,nauczyciel123,"Język polski"
Andrzej,Piotrowski,a.piotrowski@szkola.pl,a.piotrowski,nauczyciel123,"Język angielski,Język angielski rozszerzony"
Dorota,Grabowska,d.grabowska@szkola.pl,d.grabowska,nauczyciel123,"Chemia"
Robert,Nowakowski,r.nowakowski@szkola.pl,r.nowakowski,nauczyciel123,"Biologia"
Monika,Pawłowska,m.pawlowska@szkola.pl,m.pawlowska,nauczyciel123,"Geografia"
Grzegorz,Michalski,g.michalski@szkola.pl,g.michalski,nauczyciel123,"Historia,WOS"
Beata,Zając,b.zajac@szkola.pl,b.zajac,nauczyciel123,"WF"
Dariusz,Król,d.krol@szkola.pl,d.krol,nauczyciel123,"Informatyka"
Małgorzata,Wieczorek,m.wieczorek@szkola.pl,m.wieczorek,nauczyciel123,"Matematyka"
Jacek,Jabłoński,j.jablonski@szkola.pl,j.jablonski,nauczyciel123,"Język niemiecki"
Teresa,Wróbel,t.wrobel@szkola.pl,t.wrobel,nauczyciel123,"Język hiszpański"
Wojciech,Majewski,w.majewski@szkola.pl,w.majewski,nauczyciel123,"WF"
Zofia,Olszewska,z.olszewska@szkola.pl,z.olszewska,nauczyciel123,"Matematyka,Matematyka rozszerzona"
Stanisław,Jaworski,s.jaworski@szkola.pl,s.jaworski,nauczyciel123,"Fizyka"
Halina,Adamczyk,h.adamczyk@szkola.pl,h.adamczyk,nauczyciel123,"Język angielski"
Zbigniew,Dudek,z.dudek@szkola.pl,z.dudek,nauczyciel123,"WF"
